pl_name,pl_letter,pl_rade,pl_masse,pl_dens,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_spectype,disc_year,discoverymethod,disc_facility,tran_flag,ra,dec,planet_size_class,discovery_era,habitable_candidate
Kepler-203 b,b,2.508,,,,,668.215,5887.0,1.041,,,2014,Transit,Kepler,1,297.089959,41.3880686,Neptune-like,2010–2015,False
Kepler-132 d,d,1.41,,,18.01017554,738.0,70.21,5921.0,1.045,0.919,,2014,Transit,Kepler,1,283.23581,41.343037,Super-Earth,2010–2015,False
Kepler-1259 b,b,1.6,,,0.663085361,1681.0,1894.94,5172.0,0.767,0.878,,2016,Transit,Kepler,1,297.8414628,46.9676288,Super-Earth,2016+,False
Kepler-23 d,d,2.28,,,15.27438229,910.0,162.22,5828.0,1.548,1.078,,2014,Transit,Kepler,1,294.2189131,49.4792536,Neptune-like,2010–2015,False
HD 149026 b,b,8.29466,120.7754,,2.87589,,,6179.0,1.41,1.42,,2005,Radial Velocity,Subaru Telescope,1,247.6229827,38.3475349,Gas Giant,Pre-2010,False
Kepler-1765 b,b,2.82,,,10.41890782,855.0,126.48,5692.0,1.064,0.946,,2021,Transit,Kepler,1,298.0144601,42.9574314,Neptune-like,2016+,False
TOI-5726.01,b,2.43067499,,,5.49113023427,1093.03,337.3313,5874.0,1.10649,,,2024,Transit,Transiting Exoplanet Survey Satellite (TESS),1,123.3950504,68.5745899,Neptune-like,2016+,False
Kepler-1710 b,b,2.587,,1.11225,14.91094205,,,,,0.931,,2021,Transit,Kepler,1,291.6832878,37.7514726,Neptune-like,2016+,False
TrES-4 b,b,20.602142,157.00802,0.099,3.55392771,1795.0,,6295.0,1.81,1.45,,2007,Transit,TrES,1,268.3043361,37.2117397,Gas Giant,Pre-2010,False
Kepler-257 c,c,5.41,,,6.581484,,,5180.0,1.037,,,2014,Transit,Kepler,1,297.3159994,46.0232642,Neptune-like,2010–2015,False
K2-365 b,b,2.906,,,23.448172,,,5561.0,1.051,0.823,,2022,Transit,K2,1,238.8197061,-21.0269691,Neptune-like,2016+,False
Kepler-1131 b,b,1.44,,,3.53232449,1189.0,471.7,5957.0,0.937,1.026,,2016,Transit,Kepler,1,295.6514492,49.2612954,Super-Earth,2016+,False
Kepler-129 b,b,2.21,,,15.79193725,,,5533.0,1.56,1.07,,2014,Transit,Kepler,1,285.3111845,47.8484775,Neptune-like,2010–2015,False
Kepler-836 b,b,2.68,,,11.36112327,871.0,136.31,6244.0,1.017,1.079,,2016,Transit,Kepler,1,287.4527659,45.7043964,Neptune-like,2016+,False
Kepler-1795 b,b,1.91,,,13.36020599,525.0,18.0,4491.0,0.706,0.76,,2021,Transit,Kepler,1,286.4792568,39.2698793,Super-Earth,2016+,False
Kepler-1517 b,b,22.27,,,5.546083089,2336.0,7027.09,7358.0,4.037,2.054,,2016,Transit,Kepler,1,287.8072115,43.1888008,Gas Giant,2016+,False
Kepler-240 c,c,2.25,,,7.953547,696.0,55.37,4768.0,0.779,0.759,,2014,Transit,Kepler,1,291.1587635,40.7502108,Neptune-like,2010–2015,False
Kepler-1591 b,b,1.597,,,,,439.434,5986.0,1.551,,,2016,Transit,Kepler,1,296.5166659,44.6086233,Super-Earth,2016+,False
Kepler-94 b,b,2.61631054,,,2.5080815488,986.17,223.529,4715.0,0.739515,,,2014,Transit,Kepler,1,281.1947316,47.4972606,Neptune-like,2010–2015,False
Kepler-726 b,b,2.6,,,21.80451611,543.0,20.48,5481.0,0.708,0.806,,2016,Transit,Kepler,1,291.7172776,44.8873466,Neptune-like,2016+,False
Kepler-1061 b,b,1.69,,,2.757977384,1332.0,744.97,5919.0,1.0,0.994,,2016,Transit,Kepler,1,296.2300306,50.2752091,Super-Earth,2016+,False
Kepler-1141 b,b,0.874,,,2.344511944,,1100.0,5837.0,1.137,1.036,,2016,Transit,Kepler,1,290.5436836,47.7259073,Earth-like,2016+,False
Kepler-1513 b,b,8.594,48.30991786,1.304,160.8842,,,5491.0,0.95,0.943,G V,2016,Transit,Kepler,1,289.7917561,39.2852655,Gas Giant,2016+,False
Kepler-277 b,b,2.994,,,,,198.245,6065.0,1.769,,,2013,Transit,Kepler,1,286.5831894,39.0772582,Neptune-like,2010–2015,False
HATS-10 b,b,12.54305864,,,3.31281604058,1371.77,836.8558,5909.0,1.23194,,,2015,Transit,HATSouth,1,294.3068385,-22.2044872,Gas Giant,2010–2015,False
Kepler-273 c,c,2.0,,,8.01500821,865.0,132.46,5359.0,1.002,0.867,,2014,Transit,Kepler,1,291.3021458,47.6976573,Neptune-like,2010–2015,False
K2-63 c,c,3.66,,,25.4569,,,,1.269,,,2016,Transit,K2,1,333.4267738,-12.0663429,Neptune-like,2016+,False
Kepler-1966 b,b,0.8,,,8.61735417,668.0,46.93,5013.0,0.657,0.67,,2021,Transit,Kepler,1,292.4637788,41.2990438,Earth-like,2016+,False
Kepler-380 b,b,1.285,,,,,808.093,6031.0,1.27,,,2014,Transit,Kepler,1,282.3947017,48.7591334,Super-Earth,2010–2015,False
Kepler-45 b,b,9.85,,,2.45524051,774.0,,4098.0,0.531,0.557,,2011,Transit,Kepler,1,292.8729292,41.0641727,Gas Giant,2010–2015,False
Kepler-77 b,b,12.14160424,,,3.57875698546,1171.96,445.8323,5482.59,1.06062,,,2013,Transit,Kepler,1,289.6079433,44.3454347,Gas Giant,2010–2015,False
WASP-75 b,b,15.6,,,2.4841905,,1657.0,6090.0,1.39,1.18,,2013,Transit,SuperWASP,1,342.3858995,-10.6754686,Gas Giant,2010–2015,False
K2-5 b,b,1.5,,,5.73597,,19.7,4021.0,0.462,0.52,,2015,Transit,K2,1,169.3034598,-1.8778254,Super-Earth,2010–2015,False
KOI-1599.02,b,22.29,,,13.6164547,755.0,76.81,5823.0,0.972,1.02,,2019,Transit,Kepler,1,298.3738383,40.6184483,Gas Giant,2016+,False
Kepler-331 b,b,2.1,,,8.457521,570.0,,4496.0,0.579,0.653,,2014,Transit,Kepler,1,291.8343455,39.3073462,Neptune-like,2010–2015,False
Kepler-49 b,b,1.83,,,7.028,,16.9,3903.0,0.523,0.541,,2012,Transit,Kepler,1,292.2945208,40.5918123,Super-Earth,2010–2015,False
TOI-1898 b,b,9.39553231,129.0,0.85,45.52234,674.54,,6241.0,1.6131,1.2484,,2024,Transit,Transiting Exoplanet Survey Satellite (TESS),1,144.5553,23.5467464,Gas Giant,2016+,False
Kepler-1366 b,b,1.27,,,2.164570593,783.0,88.91,3941.0,0.554,0.578,,2016,Transit,Kepler,1,285.0648845,41.5548464,Super-Earth,2016+,False
Kepler-1712 b,b,1.91,,,13.81504449,391.0,5.52,3732.0,0.509,0.515,,2021,Transit,Kepler,1,284.998698,50.1466922,Super-Earth,2016+,False
Kepler-481 b,b,2.89,,,10.06082567,946.0,189.36,5692.0,1.265,0.931,,2016,Transit,Kepler,1,291.9069862,49.262076,Neptune-like,2016+,False
TrES-4 b,b,20.602142,158.27934,0.099,3.55392771,,,6295.0,1.81,1.45,,2007,Transit,TrES,1,268.3043361,37.2117397,Gas Giant,Pre-2010,False
Kepler-276 c,c,3.7,,,31.8841473,563.0,23.82,5779.0,0.974,1.037,,2013,Transit,Kepler,1,293.568197,39.0363123,Neptune-like,2010–2015,False
Kepler-1860 b,b,0.88,,,12.73672,693.0,,5603.0,0.82,0.925,,2021,Transit,Kepler,1,294.3508497,50.0809627,Earth-like,2016+,False
Kepler-1516 b,b,1.61,,,7.25931979,967.0,206.88,5914.0,0.987,0.938,,2016,Transit,Kepler,1,291.4945795,44.5234227,Super-Earth,2016+,False
WASP-65 b,b,13.18791073,,,2.31142033564,1418.56,957.0053,5785.79,1.07008,,,2013,Transit,SuperWASP,1,133.3242982,8.5230171,Gas Giant,2010–2015,False
Kepler-145 b,b,2.2,,,22.95068896,886.0,145.5,6144.0,1.85,1.319,,2013,Transit,Kepler,1,291.3877397,44.5290465,Neptune-like,2010–2015,False
Kepler-1889 b,b,2.59,,,37.3037619,494.0,14.08,5641.0,0.817,0.853,,2021,Transit,Kepler,1,297.1992577,41.2264404,Neptune-like,2016+,False
Kepler-25 c,c,4.96046,,,12.72038,705.0,41.1042,6212.0,1.48,,,2011,Transit,Kepler,1,286.6383905,39.4879038,Neptune-like,2010–2015,False
HD 209458 b,b,15.098523,,,,,,,1.146,,,1999,Radial Velocity,W. M. Keck Observatory,1,330.7950219,18.8842419,Gas Giant,Pre-2010,False
HD 209458 b,b,15.7,219.29,0.34,3.5,1450.0,,,,,G0 V,1999,Radial Velocity,W. M. Keck Observatory,1,330.7950219,18.8842419,Gas Giant,Pre-2010,False
WASP-121 b,b,18.988046,,,1.2749255,,,,1.458,,,2016,Transit,SuperWASP,1,107.6002312,-39.0972705,Gas Giant,2016+,False
TOI-178 c,c,1.669,4.77,5.62,3.23845,873.0,,4316.0,0.651,0.65,K,2021,Transit,Transiting Exoplanet Survey Satellite (TESS),1,7.3020115,-30.4541159,Super-Earth,2016+,False
HD 152843 c,c,5.83,27.5,0.82,24.38,,,6310.0,1.43,1.15,G0,2021,Transit,Transiting Exoplanet Survey Satellite (TESS),1,253.7848853,20.491524,Neptune-like,2016+,False
Kepler-25 c,c,5.2,24.6,0.9,12.7204,,,6270.0,1.31,1.19,,2011,Transit,Kepler,1,286.6383905,39.4879038,Neptune-like,2010–2015,False
Kepler-25 c,c,4.51,,,12.720374354,941.0,185.61,6270.0,1.309,1.187,,2011,Transit,Kepler,1,286.6383905,39.4879038,Neptune-like,2010–2015,False
Kepler-268 b,b,2.55,,,25.934138,,,6081.0,1.274,,,2014,Transit,Kepler,1,291.9761559,38.0550327,Neptune-like,2010–2015,False
TrES-4 b,b,19.122554,291.45011,0.23,3.5539246,1778.0,,6200.0,,,,2007,Transit,TrES,1,268.3043361,37.2117397,Gas Giant,Pre-2010,False
Kepler-95 b,b,3.145,,,,,178.832,5654.0,1.42,,,2014,Transit,Kepler,1,284.4824281,44.397891,Neptune-like,2010–2015,False
Kepler-228 c,c,2.84,,,4.13443005,,,5630.0,0.92,0.95,,2014,Transit,Kepler,1,296.2860853,48.2246328,Neptune-like,2010–2015,False
K2-133 b,b,1.31,,,3.0712,,,3655.0,0.47,0.51,M1 V,2017,Transit,K2,1,70.1493775,25.0098135,Super-Earth,2016+,False
Kepler-167 c,c,1.76,,,7.40610775,755.0,76.91,4978.0,0.808,0.772,,2014,Transit,Kepler,1,292.6585253,38.3455558,Super-Earth,2010–2015,False
Kepler-238 d,d,2.15,,,13.23356008,759.0,78.47,5858.0,0.963,1.056,,2014,Transit,Kepler,1,287.8971066,40.6378141,Neptune-like,2010–2015,False
Kepler-549 b,b,2.98,,,42.949522,487.0,13.29,5312.0,0.986,0.859,,2016,Transit,Kepler,1,283.0228527,47.2611431,Neptune-like,2016+,False
KOI-1783.01,b,8.5,,,134.47972,382.0,,6235.0,1.03,1.115,,2020,Transit,Kepler,1,289.3414629,46.988155,Gas Giant,2016+,False
Kepler-337 c,c,2.0,,,9.69303,1046.0,,5900.0,1.46,1.021,,2014,Transit,Kepler,1,290.0605123,47.1639533,Neptune-like,2010–2015,False
KOI-351 f,f,2.77,,,124.916337,,6.4,6015.0,1.185,1.108,,2013,Transit,Kepler,1,284.4334642,49.3051239,Neptune-like,2010–2015,False
Kepler-607 b,b,0.863,,,,,2302.613,5079.0,0.838,,,2016,Transit,Kepler,1,291.0571451,44.632306,Earth-like,2016+,False
Kepler-37 c,c,0.742,,,21.301886,,,5417.0,0.77,0.803,,2013,Transit,Kepler,1,284.0592503,44.5183733,Earth-like,2010–2015,False
Kepler-529 b,b,1.86,,,1.980357663,,,6087.0,1.14,1.07,,2016,Transit,Kepler,1,285.8884067,47.880364,Super-Earth,2016+,False
Kepler-665 b,b,2.86,,,16.01310205,593.0,29.31,5015.0,0.826,0.785,,2016,Transit,Kepler,1,297.0255947,48.4785669,Neptune-like,2016+,False
Kepler-1061 b,b,1.98,,,2.757982666,,,6067.0,1.07,1.09,,2016,Transit,Kepler,1,296.2300306,50.2752091,Super-Earth,2016+,False
K2-413 b,b,0.7599,,,0.8094,,921.755,4116.0,0.7,0.808,,2022,Transit,K2,1,353.4175668,-7.6120272,Earth-like,2016+,False
Kepler-235 b,b,2.06,,,3.34024,638.0,,3887.0,0.48,0.51,M0 V,2014,Transit,Kepler,1,286.0790779,39.278237,Neptune-like,2010–2015,False
Kepler-518 b,b,4.38,,,8.512035877,1252.0,580.47,6164.0,1.825,1.173,,2016,Transit,Kepler,1,287.090019,41.3737576,Neptune-like,2016+,False
Kepler-1814 b,b,2.62,,,2.935359333,1023.0,258.48,4922.0,0.823,0.79,,2021,Transit,Kepler,1,285.2166767,41.2824449,Neptune-like,2016+,False
Kepler-354 d,d,1.45,,,24.2102171,,,4634.0,0.7,0.73,,2014,Transit,Kepler,1,285.7515347,41.3356739,Super-Earth,2010–2015,False
Kepler-1432 b,b,1.91,,,23.9107056,709.0,59.76,6338.0,1.091,1.137,,2016,Transit,Kepler,1,295.5241011,49.8295211,Super-Earth,2016+,False
Kepler-1867 b,b,0.67,,,9.88736112,770.0,82.98,5684.0,0.819,0.894,,2021,Transit,Kepler,1,294.9971007,43.4358698,Earth-like,2016+,False
HAT-P-15 b,b,12.016048,619.45067,1.96,10.863502,,,5568.0,1.08,1.013,,2010,Transit,HATNet,1,66.248142,39.460602,Gas Giant,2010–2015,False
Kepler-342 b,b,1.82,,,15.17026179,868.0,134.29,6475.0,1.178,1.2,,2014,Transit,Kepler,1,292.6780488,46.7266813,Super-Earth,2010–2015,False
Kepler-145 b,b,2.2,,,22.95068896,886.0,145.5,6144.0,1.85,1.319,,2013,Transit,Kepler,1,291.3877397,44.5290465,Neptune-like,2010–2015,False
Kepler-4 b,b,3.72,,,3.2136641,1386.0,,5858.0,1.27,1.124,,2009,Transit,Kepler,1,285.6154492,50.1357712,Neptune-like,Pre-2010,False
Kepler-1144 b,b,3.64,,,17.14648756,811.0,102.24,5559.0,1.412,0.974,,2016,Transit,Kepler,1,290.0432936,47.2578857,Neptune-like,2016+,False
HD 80653 b,b,1.613,5.6,7.4,0.719573,,,,1.22,1.18,G2,2020,Transit,K2,1,140.3390845,14.3678691,Super-Earth,2016+,False
TOI-2443 b,b,2.363,4.8,2.0,15.66858,519.0,,4375.0,0.631,0.642,K5 V,2023,Transit,Transiting Exoplanet Survey Satellite (TESS),1,40.1798608,1.1996757,Neptune-like,2016+,False
Kepler-751 b,b,3.24,,,17.44486016,679.0,50.32,5568.0,0.966,0.882,,2016,Transit,Kepler,1,294.8438103,44.0776872,Neptune-like,2016+,False
Kepler-1488 c,c,0.87,,,6.15827512,1107.0,355.39,6035.0,1.135,0.992,,2021,Transit,Kepler,1,286.6464265,49.9377735,Earth-like,2016+,False
Kepler-50 c,c,1.951,,,,,388.444,6162.0,1.597,,,2012,Transit,Kepler,1,288.1009312,50.0336844,Super-Earth,2010–2015,False
Kepler-1761 b,b,1.75,,,4.04355245,613.0,33.34,3871.0,0.532,0.573,,2021,Transit,Kepler,1,284.1329728,49.1426325,Super-Earth,2016+,False
Kepler-354 b,b,2.01,,,5.47665801,741.0,71.0,4650.0,0.706,0.704,,2014,Transit,Kepler,1,285.7515347,41.3356739,Neptune-like,2010–2015,False
WTS-2 b,b,15.277867,403.6441,0.62,1.0187068,,,5000.0,0.75,0.82,,2014,Transit,United Kingdom Infrared Telescope,1,293.7327826,36.8154936,Gas Giant,2010–2015,False
HD 189733 b,b,12.755842,356.92309,0.943,2.2185752,,,5040.0,0.756,0.806,,2005,Radial Velocity,Haute-Provence Observatory,1,300.1821223,22.7097759,Gas Giant,Pre-2010,False
Kepler-546 b,b,7.0,,,4.147020258,,,5967.0,1.15,1.11,,2016,Transit,Kepler,1,283.257573,40.9904095,Gas Giant,2016+,False
Kepler-81 d,d,1.02,,,20.83766355,357.0,3.83,3896.0,0.52,0.54,,2014,Transit,Kepler,1,293.6369437,42.8248275,Earth-like,2010–2015,False
K2-70 b,b,2.89,,,13.97896,,62.0,5622.0,0.93,0.94,,2016,Transit,K2,1,338.4759328,-10.0849917,Neptune-like,2016+,False
Kepler-1149 b,b,1.27,,,3.73089898,1115.0,365.36,5830.0,0.876,0.97,,2016,Transit,Kepler,1,294.1891824,45.1515263,Super-Earth,2016+,False
Kepler-350 c,c,2.45,,,17.84848082,838.0,116.48,6217.0,1.247,0.997,,2013,Transit,Kepler,1,285.4195845,39.7061009,Neptune-like,2010–2015,False
K2-19 b,b,7.74,28.5,0.334,7.9194,,,5430.0,0.86,0.93,,2015,Transit,K2,1,174.9602543,0.603596,Gas Giant,2010–2015,False
Kepler-637 b,b,2.76,,,23.20584623,862.0,130.61,6722.0,1.466,1.296,,2016,Transit,Kepler,1,292.4172566,41.4168384,Neptune-like,2016+,False
Kepler-144 c,c,1.1,,,10.10463505,923.0,171.87,6363.0,1.012,1.065,,2014,Transit,Kepler,1,281.9156128,42.7755535,Earth-like,2010–2015,False
Kepler-375 b,b,2.5,,,12.12580644,851.0,123.78,5500.0,1.238,0.922,,2014,Transit,Kepler,1,288.6178715,48.0983639,Neptune-like,2010–2015,False
K2-198 c,c,1.423,,,3.3596055,1229.9,,5212.9,0.757,0.799,,2019,Transit,K2,1,198.8436817,-6.4649888,Super-Earth,2016+,False
Kepler-160 b,b,1.99,,,4.30920108,,,5711.0,0.95,0.97,,2014,Transit,Kepler,1,287.773573,42.8692755,Super-Earth,2010–2015,False
Kepler-1368 b,b,1.44,,,0.675649486,2086.0,4473.06,5966.0,0.961,1.049,,2016,Transit,Kepler,1,294.7669795,41.6446434,Super-Earth,2016+,False
Kepler-308 c,c,1.99,,,15.3823,705.0,,5876.0,0.89,0.997,,2014,Transit,Kepler,1,295.7852423,40.4395753,Super-Earth,2010–2015,False
Kepler-1218 b,b,1.44,,,22.9221266,,,5986.0,1.1,1.06,,2016,Transit,Kepler,1,291.5788505,44.5316825,Super-Earth,2016+,False
WASP-2 b,b,12.004839,293.99275,0.93,2.15222163,,,5200.0,0.84,0.89,,2007,Transit,SuperWASP,1,307.7255587,6.4293305,Gas Giant,Pre-2010,False
Kepler-1060 b,b,3.034,,,,,17.416,5500.0,1.149,,,2016,Transit,Kepler,1,286.0252285,39.6309204,Neptune-like,2016+,False
Kepler-49 c,c,2.99,8.3,,10.913,,,,0.583,0.623,,2012,Transit,Kepler,1,292.2945208,40.5918123,Neptune-like,2010–2015,False
Kepler-1219 b,b,1.32,,,16.10467749,825.0,109.39,6053.0,1.188,0.991,,2016,Transit,Kepler,1,297.2158443,47.3785082,Super-Earth,2016+,False
Kepler-1794 b,b,1.96,,,9.7629522,703.0,57.59,5052.0,0.816,0.773,,2021,Transit,Kepler,1,300.6196594,45.7888068,Super-Earth,2016+,False
HATS-77 b,b,13.05846252,436.69623122,1.077,3.0876262,828.3,78.37,4071.0,0.6428,0.655,,2021,Transit,HATSouth,1,149.8236672,-27.3928174,Gas Giant,2016+,False
Kepler-1252 b,b,1.44,,,15.0539886,665.0,46.3,5475.0,0.818,0.734,,2016,Transit,Kepler,1,298.9503634,46.6928437,Super-Earth,2016+,False
Kepler-590 b,b,3.51,,,5.85296257,1056.0,293.93,6050.0,1.013,1.05,,2016,Transit,Kepler,1,296.3855467,48.2334177,Neptune-like,2016+,False
Kepler-433 b,b,7.93,,,5.33408346,1149.0,412.27,6057.0,1.11,1.009,,2015,Transit,Kepler,1,297.5936232,40.9772546,Gas Giant,2010–2015,False
Kepler-342 b,b,2.47,,,15.17026921,905.0,158.23,6297.0,1.369,1.247,,2014,Transit,Kepler,1,292.6780488,46.7266813,Neptune-like,2010–2015,False
Kepler-863 b,b,2.87,,,15.59461874,718.0,62.88,5900.0,0.929,0.995,,2016,Transit,Kepler,1,297.6644677,43.2489903,Neptune-like,2016+,False
Kepler-1544 b,b,1.685,,,,,0.833,4852.0,0.706,,,2016,Transit,Kepler,1,297.2852168,49.2124526,Super-Earth,2016+,False
CoRoT-8 b,b,6.938371,69.28694,1.1,6.212445,870.0,,,0.802,0.89,,2010,Transit,CoRoT,1,291.5885696,1.4262972,Gas Giant,2010–2015,False
Kepler-764 b,b,1.59,,,7.33683936,876.0,139.19,5798.0,0.847,0.932,,2016,Transit,Kepler,1,297.3931183,47.1645814,Super-Earth,2016+,False
Kepler-515 b,b,1.75,,,19.96371318,671.0,47.97,5780.0,1.0,1.0,,2016,Transit,Kepler,1,290.493913,52.055611,Super-Earth,2016+,False
TOI-1246 b,b,3.28198793,,,4.30745132484,954.88,196.4755,5141.0,0.876154,,,2022,Transit,Transiting Exoplanet Survey Satellite (TESS),1,251.1158702,70.4299917,Neptune-like,2016+,False
GJ 9827 d,d,2.022,4.04,2.69,6.2014698,,,4340.0,0.602,0.606,,2017,Transit,K2,1,351.7717763,-1.2853435,Neptune-like,2016+,False
Qatar-4 b,b,12.722215,1938.763,5.1,1.8053564,1385.0,614.0,5215.0,0.849,0.896,K1 V,2017,Transit,Qatar,1,4.859275,44.0275965,Gas Giant,2016+,False
K2-30 b,b,13.14,,,4.0984897,,,,0.921,,,2016,Transit,K2,1,52.3420548,22.2993491,Gas Giant,2016+,False
Kepler-53 d,d,2.861,,,,,144.852,5766.0,1.09,,,2014,Transit,Kepler,1,290.4617926,40.5624966,Neptune-like,2010–2015,False
Kepler-398 b,b,0.93,,,4.081423,,,4493.0,0.613,,,2014,Transit,Kepler,1,291.4688524,40.3437001,Earth-like,2010–2015,False
TOI-6000 b,b,1.01526302,,,0.44895891195,1022.91,258.7482,3419.0,0.377509,,,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),1,292.6062979,68.1545924,Earth-like,2016+,False
Kepler-1128 b,b,3.36,,,61.6174528,424.0,7.67,5480.0,0.931,0.966,,2016,Transit,Kepler,1,293.063315,39.4034052,Neptune-like,2016+,False
Kepler-115 b,b,0.99,,,2.403643296,1459.0,1071.38,5977.0,1.075,0.999,,2014,Transit,Kepler,1,297.7119299,45.261985,Earth-like,2010–2015,False
WASP-36 b,b,13.30845019,,,1.53736434898,1566.36,1422.6075,5959.0,0.959588,,,2011,Transit,SuperWASP,1,131.5803897,-8.0269855,Gas Giant,2010–2015,False
Kepler-1188 b,b,2.17,,,17.1369543,781.0,87.94,6217.0,1.09,1.098,,2016,Transit,Kepler,1,283.1038438,43.1480487,Neptune-like,2016+,False
K2-170 b,b,1.62,,,7.5734,,,,1.0849,,,2018,Transit,K2,1,335.4506923,-14.5933554,Super-Earth,2016+,False
Kepler-963 b,b,2.89,,,9.97683705,802.0,97.85,5500.0,0.928,0.821,,2016,Transit,Kepler,1,296.7529742,45.0411049,Neptune-like,2016+,False
Kepler-947 b,b,2.4,,,26.9644317,573.0,25.56,5754.0,0.905,1.021,,2016,Transit,Kepler,1,294.3667312,42.2526408,Neptune-like,2016+,False
Kepler-1461 b,b,2.02,,,29.3493852,451.0,9.81,4987.0,0.722,0.784,,2016,Transit,Kepler,1,285.8305091,43.198377,Neptune-like,2016+,False
TOI-954 b,b,9.05543,,,3.68497,1659.0,1260.27,5756.0,1.93,,,2020,Transit,Transiting Exoplanet Survey Satellite (TESS),1,61.9410587,-25.2088028,Gas Giant,2016+,False
HIP 65 A b,b,5.91629233,,,0.980972,1320.95,719.5629,4486.0,0.764401,,,2020,Transit,Transiting Exoplanet Survey Satellite (TESS),1,0.1856063,-54.8308228,Neptune-like,2016+,False
Kepler-11 e,e,3.98,7.0,,31.995,,,,1.046,0.92,,2010,Transit,Kepler,1,297.1150949,41.9091092,Neptune-like,2010–2015,False
Kepler-865 c,c,0.95,,,6.20934,926.0,,5438.0,0.92,0.822,,2023,Transit,Kepler,1,297.7242257,43.5272796,Earth-like,2016+,False
Kepler-84 b,b,2.75,,,8.72585936,932.0,178.73,6028.0,1.022,1.005,,2012,Transit,Kepler,1,298.2520208,40.4960842,Neptune-like,2010–2015,False
Kepler-396 b,b,3.168,,,,,13.731,5656.0,0.903,,,2013,Transit,Kepler,1,296.1328135,48.9773095,Neptune-like,2010–2015,False
Kepler-454 b,b,1.82,,,10.573769,844.0,,5783.0,1.072,1.118,,2015,Transit,Kepler,1,287.4786474,38.2290751,Super-Earth,2010–2015,False
Kepler-77 b,b,10.466,,,,,432.871,5596.0,0.998,,,2013,Transit,Kepler,1,289.6079433,44.3454347,Gas Giant,2010–2015,False
Kepler-296 b,b,35.25,,,10.86443187,,,3558.0,0.37,0.38,,2014,Transit,Kepler,1,286.5400278,49.4372614,Gas Giant,2010–2015,False
Kepler-236 c,c,1.85,,,23.9679932,325.0,2.62,3750.0,0.51,0.54,,2014,Transit,Kepler,1,283.8664285,39.8981928,Super-Earth,2010–2015,True
K2-266 c,c,0.705,,,7.814,664.5,32.4,4285.0,0.703,0.686,,2018,Transit,K2,1,157.9356855,0.9372782,Earth-like,2016+,False
Kepler-119 c,c,0.9,,,4.12512093,1017.0,252.62,5588.0,0.832,0.914,,2014,Transit,Kepler,1,295.9463854,42.6588324,Earth-like,2010–2015,False
HATS-9 b,b,14.42,,,1.9153196,,,,1.592,,,2015,Transit,HATSouth,1,290.8101704,-20.1663771,Gas Giant,2010–2015,False
K2-201 b,b,1.47,,,1.059806,,,,0.92,,,2018,Transit,K2,1,293.5607117,-23.1312775,Super-Earth,2016+,False
Kepler-633 c,c,2.01,,,23.7832097,725.0,65.26,5877.0,1.265,0.997,,2021,Transit,Kepler,1,295.2173259,40.5921599,Neptune-like,2016+,False
Kepler-406 b,b,1.43,6.35,11.82,2.42629,,,5538.0,1.07,1.07,,2014,Transit,Kepler,1,291.8481764,44.9682807,Super-Earth,2010–2015,False
Kepler-1837 b,b,1.43,,,5.90609759,1012.0,247.83,5966.0,0.961,1.049,,2021,Transit,Kepler,1,288.2076012,45.6834463,Super-Earth,2016+,False
Kepler-195 b,b,2.03,,,8.307872,,,5329.0,0.775,,,2014,Transit,Kepler,1,288.1209339,47.9666141,Neptune-like,2010–2015,False
TOI-2031 A b,b,14.20177855,254.2627256,0.49,5.71548654,1358.0,567.0,6490.0,1.241,1.174,,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),1,331.1178077,81.5659509,Gas Giant,2016+,False
Kepler-1417 b,b,1.0,,,20.3505213,695.0,55.07,5952.0,1.002,0.942,,2016,Transit,Kepler,1,290.9498966,40.605197,Earth-like,2016+,False
Kepler-1616 b,b,1.337,,,,,724.861,6153.0,1.806,,,2016,Transit,Kepler,1,286.5436691,45.3048716,Super-Earth,2016+,False
Kepler-325 b,b,3.0,,,4.544436472,1017.0,253.48,5445.0,0.937,0.919,,2014,Transit,Kepler,1,289.8354219,49.825607,Neptune-like,2010–2015,False
CoRoT-4 b,b,13.33871,223.43449,0.517,9.20205,,,6190.0,1.17,1.16,,2008,Transit,CoRoT,1,102.1946233,-0.6727861,Gas Giant,Pre-2010,False
Kepler-452 b,b,1.63,,,384.843,265.0,1.1,5757.0,1.11,1.037,G2,2015,Transit,Kepler,1,296.003752,44.2775861,Super-Earth,2010–2015,True
Kepler-1022 b,b,2.36,,,10.99469878,,,4445.0,0.68,0.71,,2016,Transit,Kepler,1,289.3520595,46.9736345,Neptune-like,2016+,False
Kepler-744 b,b,2.7,,,12.062148,1013.0,,5938.0,1.57,1.06,,2016,Transit,Kepler,1,296.4960493,47.1827848,Neptune-like,2016+,False
Kepler-294 b,b,1.727,,,3.70120482,,322.8,5513.0,0.908,0.947,,2014,Transit,Kepler,1,287.3920392,46.0592578,Super-Earth,2010–2015,False
K2-16 c,c,2.14,,,19.07536,523.0,,4761.0,0.64,0.67,,2015,Transit,K2,1,175.0972238,4.5574311,Neptune-like,2010–2015,False
Kepler-117 c,c,10.6,,,50.79034648,612.0,33.12,6163.0,1.406,1.102,,2014,Transit,Kepler,1,288.7930651,48.040176,Gas Giant,2010–2015,False
