pl_name,pl_rade,pl_orbper,sy_snum,sy_pnum,disc_year
Kepler-156 c,2.611,15.90686437,1,2,2014
Kepler-1125 b,1.84,17.6700642,1,1,2016
Kepler-49 c,3.1,10.91274807,1,4,2012
HAT-P-34 b,14.5502,5.4526479,1,1,2011
Kepler-1037 b,1.61,1.063788673,1,1,2016
Kepler-150 c,3.7,7.381977254,1,5,2014
Kepler-866 b,1.66,2.617032536,1,1,2016
HD 42813 b,3.36,13.63083,1,3,2023
Kepler-1319 b,0.67,2.886762645,2,1,2016
K2-36 b,1.45,1.422647,1,2,2016
Kepler-161 b,2.07,4.921354681,1,2,2014
Kepler-788 b,2.16,8.39846269,1,1,2016
Kepler-867 b,6.516,,1,1,2016
Kepler-207 c,1.5,3.071571,1,3,2014
K2-261 b,10.264,11.6332127,1,1,2018
Kepler-595 c,1.009,12.38602,1,2,2020
Kepler-1172 b,2.4,26.0206,1,1,2016
Kepler-1534 b,1.95,5.71668872,1,1,2016
Kepler-178 b,2.83,9.57666498,1,3,2014
Kepler-32 b,2.09,5.901282819,1,5,2011
Kepler-120 b,2.15,6.312501,1,2,2014
Kepler-258 c,3.72,33.6529701,1,2,2014
Kepler-1526 b,2.43,3.908632005,1,1,2016
Kepler-82 e,2.229,,1,5,2014
EPIC 212624936 b,1.2,0.578657,1,2,2021
Kepler-342 c,1.59,26.2348478,1,4,2014
Kepler-32 d,2.58,22.78,1,5,2012
Kepler-26 b,2.83,12.28235626,1,4,2011
Kepler-262 c,1.69,21.85347,1,2,2014
Kepler-804 b,1.9,14.37457351,1,2,2016
Kepler-380 b,1.19,3.930821,1,2,2014
Kepler-784 c,2.04,17.1570874,1,2,2023
WASP-60 b,9.63974,4.3050011,1,1,2012
Kepler-24 b,3.21,8.14511872,1,4,2011
K2-397 b,2.417,3.572326,1,1,2022
Kepler-1050 c,2.88,21.1285655,1,2,2016
Kepler-1320 b,1.71,0.868386528,1,1,2016
Kepler-101 b,4.43,3.487689428,1,2,2014
Kepler-132 d,1.43,18.01017554,2,4,2014
Kepler-27 b,4.652,,1,3,2011
Kepler-1256 b,1.4,12.4127754,1,1,2016
Kepler-1694 b,0.86,3.89523349,1,1,2020
Kepler-53 b,2.95,18.64929678,1,3,2012
Kepler-327 b,1.3,,1,3,2014
Kepler-259 b,2.76,8.11529219,1,2,2014
Kepler-535 b,2.05,4.903321551,1,1,2016
Kepler-136 b,2.11,11.5789114,2,2,2014
Kepler-198 b,2.82,17.790037,1,3,2014
Kepler-1532 b,1.35,1.093663559,1,1,2016
Kepler-1191 b,1.52,5.60014851,1,1,2016
Kepler-1192 b,2.36,25.2034787,1,1,2016
Kepler-1542 b,0.95,3.95116882,1,4,2016
Kepler-102 c,0.57,7.07136076,1,5,2014
Kepler-1647 b,11.8739,1107.5923,2,1,2016
Kepler-32 b,2.15,5.901269,1,5,2011
TOI-199 b,10.223,104.8729635,1,2,2023
Kepler-780 b,0.97,0.677375164,1,1,2016
Kepler-871 b,3.05,22.0459163,1,1,2016
K2-123 b,2.76,30.951524,1,1,2017
Kepler-276 d,2.8,48.6541,1,3,2013
Kepler-322 b,0.96,1.653893465,1,2,2014
Kepler-320 b,1.14,8.371554,1,2,2014
Kepler-282 c,1.33,13.63894,1,4,2014
Kepler-579 b,1.6,9.668464,1,1,2016
Kepler-159 c,2.695,,1,2,2014
Kepler-1231 b,1.64,10.41728722,1,1,2016
K2-165 d,2.64809498,14.101361,1,3,2018
Kepler-1440 b,2.005,39.859484,1,1,2016
Kepler-292 d,2.57,7.0556671,1,5,2014
Kepler-29 b,2783.7,10.3392924,1,2,2011
TOI-6038 A b,6.41,5.8267311,2,1,2025
Kepler-351 b,2.74,37.0548569,1,3,2014
Kepler-1147 b,2.303,,1,1,2016
Kepler-166 b,2.39,7.650241916,1,3,2014
K2-407 b,1.283,4.941907,1,2,2022
Kepler-103 b,3.33,15.96532718,1,2,2014
K2-337 b,2.62,16.273563,1,1,2021
Kepler-688 b,7.92,3.895936844,1,1,2016
Kepler-647 c,3.26,29.66653,1,2,2020
Kepler-253 b,1.7,3.78402867,1,3,2014
Kepler-315 c,4.2,265.47847,1,2,2014
Kepler-142 d,1.526,,1,3,2014
K2-403 b,9.88421,33.5920255,1,1,2022
Kepler-386 b,1.51,12.3101351,1,2,2014
Kepler-1490 b,2.59,92.4362973,1,1,2016
Kepler-988 b,2.17,17.76080053,1,1,2016
K2-107 b,16.14096,3.31392,1,1,2017
Kepler-1347 b,0.99,14.00947528,1,1,2016
Kepler-919 b,1.93,11.04603384,1,1,2016
Kepler-1165 c,2.0,29.9686052,1,2,2021
Kepler-170 c,2.86,16.665863,1,2,2014
Kepler-51 b,8.51,45.15530074,1,4,2012
Kepler-1944 b,2.41,9.84262076,1,1,2021
Kepler-1979 b,5.28,18.5084405,1,1,2023
Kepler-153 c,2.109,46.9025112,1,2,2014
Kepler-48 c,2.63,9.673958488,1,5,2012
Kepler-323 b,1.67,1.678,1,2,2014
HD 108236 c,2.071,6.203449,1,5,2020
Kepler-1814 c,1.71,0.626281378,1,2,2023
Kepler-124 c,2.502,13.82139306,1,3,2014
Kepler-1836 b,2.15,5.25419736,1,1,2021
TOI-1130 c,13.0,8.3501898,1,2,2020
KELT-4 A b,19.05526719,2.989594,3,1,2016
Kepler-148 d,8.95,51.84688575,1,3,2016
Kepler-155 c,1.76,52.6615836,1,2,2014
Kepler-361 c,2.52,55.188023,1,2,2014
Kepler-1212 b,1.77,12.94130146,1,1,2016
Kepler-830 b,1.57,11.29695137,1,1,2016
Kepler-705 b,2.18,56.05628,1,1,2016
Kepler-1868 b,3.43,211.032819,1,1,2021
Kepler-1929 b,2.23,59.3627946,1,1,2021
Kepler-194 d,2.41,52.8147284,1,3,2014
Kepler-1879 b,1.77,10.61345333,1,1,2021
Kepler-333 c,1.2,24.0882568,2,2,2014
Kepler-204 c,1.36,25.661658,1,2,2014
Kepler-1001 c,1.55,9.18186435,1,2,2020
Kepler-979 b,2.72,8.0880135,1,1,2016
Kepler-26 b,2.83,12.282998287,1,4,2011
Kepler-646 b,1.795,15.87364565,1,1,2016
Kepler-275 d,3.08,35.6756963,1,3,2014
Kepler-512 b,1.98,34.43587975,1,1,2016
Kepler-559 b,3.43,,1,1,2016
EPIC 201238110 b,2.2,28.1696,1,1,2019
TOI-1807 b,1.49681583,0.54937097,1,1,2021
Kepler-29 b,2783.7,10.3392924,1,2,2011
TOI-2977 b,12.9823,2.3505698,1,1,2023
Kepler-58 d,4.59,40.1014272,1,4,2014
Kepler-1446 b,0.82,0.689967832,1,1,2016
Kepler-1171 b,2.73,1.44259224,1,1,2016
GJ 1252 b,1.193,0.5182331,1,1,2020
Kepler-112 b,2.36,8.408878,1,2,2014
Kepler-107 e,2.92,14.749176,1,4,2014
Kepler-670 b,12.274,,1,1,2016
Kepler-1959 b,1.2,6.3867289,1,1,2021
Kepler-1496 b,1.79,64.6588017,1,1,2016
Kepler-407 b,1.165,,1,2,2014
Kepler-1446 b,1.86,0.689967832,1,1,2016
Kepler-182 b,3.178,9.82578435,1,2,2014
Kepler-79 e,3.49,81.0659,1,4,2014
Kepler-1400 b,1.571,,1,1,2016
Kepler-1065 b,3.47,3.609308907,1,2,2016
Kepler-1056 b,2.11,27.495634,1,1,2016
Kepler-1684 b,2.87084792,47.7055,1,1,2020
Kepler-460 c,6.1,220.1303357,1,2,2016
Kepler-1307 b,3.0,18.0166,1,1,2016
TOI-5882 b,11.83668362,7.148973,1,1,2025
Kepler-794 b,1.61,11.13125132,1,1,2016
Kepler-1954 b,1.34,5.88346916,1,1,2021
Kepler-198 c,2.47,49.567416,1,3,2014
Kepler-1718 b,2.5,135.1878234,1,1,2021
Kepler-1265 b,1.47,6.49441289,1,1,2016
Kepler-376 b,0.95,4.92031217,1,2,2014
Kepler-1817 b,2.28,44.2994477,1,1,2021
Kepler-368 c,3.88,72.379334,1,2,2014
Kepler-1290 b,1.42,4.69500134,1,1,2016
HIP 116454 b,2.53,9.0949,2,1,2014
Kepler-169 c,1.137,6.19543693,1,5,2014
POTS-1 b,10.548,3.1606296,1,1,2013
Kepler-450 b,6.29,,1,3,2015
WASP-149 b,15.24421375,1.332813,1,1,2025
Kepler-238 f,2.81,50.4473156,1,5,2013
Kepler-1103 b,2.04,19.79191978,1,1,2016
Kepler-938 b,2.08,52.6298417,1,1,2016
Kepler-1355 b,1.308,,1,1,2016
Kepler-1725 b,2.37,16.71987223,1,1,2021
Kepler-99 b,1.88,4.603578042,2,1,2014
Kepler-312 c,2.43,19.74732846,1,2,2014
Kepler-215 d,2.34,30.864,1,4,2014
Kepler-1779 b,2.5,16.34356447,1,1,2021
CoRoT-1 b,19.223435,1.5089682,1,1,2008
Kepler-575 b,2.03,9.3789167,1,1,2016
Kepler-1411 b,2.82,86.1150888,1,1,2016
Kepler-1542 e,0.94,5.10115756,1,4,2016
HATS-41 b,11.54257023,4.19334220897,1,1,2018
Kepler-1305 b,1.75,13.5630972,1,1,2016
Kepler-1090 b,2.51,198.680179,1,2,2016
Kepler-835 b,2.79,11.41909375,1,1,2016
Kepler-383 c,1.39,31.2009333,1,2,2014
Kepler-27 d,2.19,6.54626149,1,3,2021
WASP-157 b,11.81,3.9516283,1,1,2016
Kepler-100 c,2.221,12.815909,1,4,2014
Kepler-287 b,2.33,20.342199,1,2,2014
Kepler-1610 c,1.98,44.9851882,1,2,2023
HIP 113103 c,2.4,14.245648,1,2,2023
KOI-1599.01,1.76,20.4071345,1,2,2019
Kepler-1074 b,1.16,5.94566534,1,1,2016
Kepler-646 b,1.96,15.87369,1,1,2016
Kepler-1846 b,0.99,14.8200454,1,1,2021
K2-59 b,2.69,20.698453,1,2,2016
Kepler-80 b,2.621,7.053514449,1,6,2012
Kepler-1105 b,1.33,4.421539,1,1,2016
LHS 1678 d,0.981,4.9652229,2,3,2024
Kepler-11 c,2.87,13.0241,1,6,2010
Kepler-1602 b,0.97,11.17931605,1,1,2016
Kepler-1737 b,5.41,64.6174465,1,1,2021
Kepler-822 b,1.52,3.222969273,1,1,2016
Kepler-1409 b,1.1,0.764864926,1,1,2016
Kepler-758 e,1.47,8.1934719,1,4,2016
Kepler-127 b,1.46,14.4359459,1,3,2014
Kepler-59 c,1.92,17.9776157,1,2,2012
EPIC 201833600 c,1.0,3.96151,1,2,2019
Kepler-825 c,1.71,8.1818246,1,2,2016
WASP-29 b,8.878,3.922727,1,1,2010
Kepler-225 c,2.33,18.79418506,1,2,2014
TOI-954 b,9.550068,3.6849729,1,1,2020
Kepler-812 b,3.07,10.1171684,1,1,2016
HAT-P-4 b,15.322703,3.0565195,2,1,2007
Kepler-1310 b,1.353,,1,1,2016
Kepler-704 b,2.59,3.76182115,1,1,2016
Kepler-31 c,5.3,42.63188,1,3,2011
Kepler-619 c,1.62,1.2084485,1,3,2016
Kepler-234 c,3.75,7.21204152,1,2,2014
L 98-59 c,1.329,3.6906764,1,5,2019
Kepler-1285 b,1.4,14.7967458,1,1,2016
Kepler-37 c,0.75,21.302,1,4,2013
Kepler-1311 d,7.22,197.5107678,1,3,2021
HATS-11 b,16.667783,3.6191634,1,1,2016
Kepler-781 b,2.72,13.2140732,1,1,2016
Kepler-428 b,11.58,3.525632539,1,1,2014
Kepler-560 b,1.93,18.4776196,2,1,2016
Kepler-216 c,2.5,17.40665938,1,2,2014
Kepler-141 c,38.6,7.01062745,1,2,2014
K2-133 d,2.003,11.02454,1,4,2017
Kepler-396 c,5.38,88.5112563,1,2,2013
TOI-1260 c,2.77336735,7.49316133324,1,3,2021
K2-136 c,2.91,17.307137,2,3,2017
Kepler-270 b,1.835,,1,2,2014
Kepler-848 b,2.919,,1,1,2016
Kepler-141 b,16.16,3.10763873,1,2,2014
Kepler-695 b,9.17,3.040330424,1,1,2016
Kepler-827 b,5.63,51.92927591,1,1,2016
Kepler-642 b,2.195,4.41745855,1,1,2016
KOI-94 d,9.77,22.342969585,2,4,2013
TOI-1136 f,3.88,26.3162,1,6,2022
Kepler-667 b,11.406,,1,1,2016
TOI-1135 b,9.06883,8.0277326,1,1,2024
TOI-620 b,3.05033809,5.09880377728,1,1,2022
Kepler-691 b,2.14,8.114379,1,1,2016
Kepler-645 b,2.638,3.275822621,1,1,2016
Kepler-195 b,2.22,8.30784498,1,2,2014
Kepler-1040 b,1.84,201.1214,1,1,2016
Kepler-226 c,2.29,5.35,1,3,2014
Kepler-129 c,2.4,82.2000105,1,3,2014
HIP 8152 c,2.48,19.6053,1,2,2023
KELT-24 b,15.24421375,5.55149,2,1,2019
Kepler-269 b,4.345,5.32670215,1,2,2014
Kepler-1089 b,1.69,5.132486123,1,1,2016
Kepler-1468 c,1.07,3.54553021,1,3,2016
Kepler-210 c,3.22,7.972510087,1,2,2014
Kepler-1446 b,1.86,0.689967832,1,1,2016
Kepler-1187 b,2.33,18.87064068,1,1,2016
K2-294 b,1.66,2.50387,1,1,2019
Kepler-368 b,3.417,26.8476325,1,2,2014
Kepler-766 b,2.9,6.100295,1,1,2016
GJ 341 b,0.867887,7.5768334,1,1,2025
Kepler-1113 b,2.32,42.3004954,1,1,2016
Kepler-1413 b,1.6,13.18309,1,1,2016
Kepler-1769 b,3.81,89.1935737,1,1,2021
Kepler-205 b,1.17,2.755637103,1,2,2014
Kepler-401 d,2.27,184.256405,1,3,2016
Kepler-1093 b,2.352,25.0824626,1,2,2016
K2-406 b,4.602,22.549406,1,1,2022
Kepler-418 c,4.75,12.218278,1,2,2021
K2-43 b,5.16,3.471136,1,2,2016
Kepler-551 b,2.11,12.3764661,1,1,2016
Kepler-162 b,1.28,6.91986734,1,2,2014
Kepler-390 c,0.8,13.0600399,2,2,2014
Kepler-299 c,2.1,6.88595559,1,4,2014
Kepler-297 b,3.31,38.86840425,1,3,2014
HD 143811 AB b,15.69257298,117000.0,2,1,2025
HAT-P-3 b,10.614923,2.899736,2,1,2007
Kepler-250 d,2.24,17.64830992,1,3,2014
Kepler-603 d,1.22,6.2171292,1,3,2016
Kepler-449 c,2.13,33.67312,1,2,2015
Kepler-31 c,5.3,42.6318,1,3,2011
K2-211 b,1.33162691,0.669561,1,1,2018
Kepler-629 b,1.43,7.2385854,1,1,2016
K2-44 b,3.13,5.65621,1,1,2016
Kepler-125 c,0.79,,1,2,2014
Kepler-686 b,12.1,1.59474469,1,1,2016
Kepler-85 e,1.61,25.21767,1,4,2014
Kepler-895 b,1.41,2.806243488,1,1,2016
Kepler-1870 b,2.03,3.606941526,1,1,2021
Kepler-885 b,2.601,,1,1,2016
Kepler-1921 c,1.44,3.15721824,1,2,2023
Kepler-107 c,1.878,4.90143807,1,4,2014
Kepler-1014 b,2.39,16.57110363,1,1,2016
Kepler-461 b,3.769,,1,1,2016
Kepler-32 c,2.11,8.75,1,5,2011
L 98-59 b,0.8,2.25314,1,5,2019
Kepler-695 b,12.523,,1,1,2016
Kepler-76 b,13.111,,1,1,2013
Kepler-228 d,4.02,11.09431923,1,3,2014
Kepler-1333 b,2.7,109.64811,1,1,2016
Kepler-1649 c,0.53,19.5352551,1,2,2020
Kepler-351 c,2.89,,1,3,2014
Kepler-1495 b,3.85,85.272459,1,1,2016
Kepler-484 b,2.273,10.045569313,1,1,2016
Kepler-1244 b,1.14,3.704297,1,1,2016
Kepler-91 b,15.39,6.24668005,1,1,2013
Kepler-1882 b,1.97,13.787144,1,1,2021
Kepler-367 b,1.1,37.81526,1,2,2014
K2-387 b,8.22,28.7342,1,1,2022
LP 791-18 c,2.31,4.989963,1,3,2019
Kepler-101 b,4.36,3.487689428,1,2,2014
Kepler-802 b,3.5,40.05488,1,1,2016
Kepler-1809 b,1.17,3.757291599,1,1,2021
Kepler-169 c,1.19,6.19543693,1,5,2014
Kepler-276 b,2.64,14.12846178,1,3,2014
Kepler-771 b,2.4,,1,1,2016
Kepler-386 b,1.38,12.3102846,1,2,2014
Kepler-291 c,1.93,5.70071153,1,2,2014
Kepler-1165 b,1.43,9.478522,1,2,2016
Kepler-125 b,2.71,4.164383815,1,2,2014
Kepler-1833 b,1.12,6.89204,1,1,2021
Kepler-617 b,1.45,1.68,1,1,2016
Kepler-1571 b,1.61,3.38555488,1,1,2016
Kepler-1110 b,2.4,9.69323,1,1,2016
Kepler-1476 b,1.8,10.35863224,1,1,2016
TOI-2992 b,13.75341932,3.007812,1,1,2025
Kepler-356 b,1.665,4.61268045,1,2,2014
Kepler-450 d,0.837,7.51464,1,3,2015
Kepler-1401 b,1.68,11.20066445,1,1,2016
TOI-3688 A b,13.08088048,3.246075,2,1,2023
K2-212 b,2.57,9.79546,1,1,2018
HD 106315 b,2.23,9.5521,1,2,2017
Kepler-376 c,1.72,14.17220432,1,2,2014
Kepler-65 d,1.78,8.13122484,1,4,2012
TOI-2285 b,1.57811359,27.2672015846,1,1,2021
Kepler-224 d,2.56,11.34933733,1,4,2014
Kepler-212 b,0.87,16.2583586,1,2,2014
Kepler-196 d,5.92,122.0799221,1,3,2021
Kepler-1314 b,5.11,5.424749281,1,1,2016
Kepler-191 d,2.166,5.945041017,1,3,2016
Kepler-110 c,3.59,31.71987,1,2,2014
HAT-P-5 b,13.94326447,2.78847226599,1,1,2007
Kepler-141 b,16.16,3.10763873,1,2,2014
Kepler-411 b,1.88,3.005155704,2,4,2013
Kepler-394 b,1.84,8.00505342,1,3,2014
Kepler-100 d,1.536,35.3330866,1,4,2014
Kepler-1432 b,2.0,23.91103,1,1,2016
Kepler-286 d,1.49,5.91428767,1,4,2014
Kepler-1536 b,2.89,364.751562,1,1,2016
Kepler-172 c,2.5,6.388987,1,4,2014
Kepler-1752 b,5.26,56.3592236,1,1,2021
Kepler-1134 b,2.6,17.13263989,1,1,2016
TOI-5803 b,3.2732,5.38305,1,1,2023
WASP-98 b,12.3299,2.96264,2,1,2014
K2-3 c,1.18,24.64671,1,3,2015
Kepler-1989 b,4.42,10.161032261,1,1,2023
Kepler-126 d,2.513,100.28208,1,3,2014
Kepler-1390 b,1.1,6.480178,1,1,2016
Kepler-265 b,1.66,6.84619299,1,4,2014
Kepler-1257 b,1.421,,1,1,2016
Kepler-379 c,2.12,62.7845002,1,2,2014
Kepler-318 b,3.86,4.66271902,1,2,2014
Kepler-98 b,1.99,1.54168,1,1,2014
Kepler-833 b,1.75,18.7546998,1,1,2016
Kepler-1565 b,1.18,1.538188437,1,1,2016
Kepler-1788 b,1.99,2.800131,1,1,2021
Kepler-55 c,1.85,42.1406089,1,5,2012
Kepler-304 c,2.8,5.315953474,1,4,2014
K2-126 b,1.79540442,7.387066,1,1,2017
Kepler-150 c,3.42,7.381980206,1,5,2014
Kepler-685 b,8.544,,1,1,2016
Kepler-305 d,2.76,16.74,1,4,2014
Kepler-384 c,1.13,45.348269,1,2,2014
Kepler-336 b,0.73,2.024820339,1,3,2014
Kepler-372 d,2.44,30.0904877,1,3,2014
TOI-2768 b,3.01287,1.5080197,1,1,2024
KOI-217 b,13.14,3.905081985,1,1,2010
Kepler-1855 b,0.97,0.73,1,1,2021
Kepler-123 c,1.46,26.6951659,1,2,2014
Kepler-645 b,2.28,3.275783,1,1,2016
Kepler-80 f,1.031,0.98678,1,6,2016
K2-130 b,1.25,2.49412,1,1,2017
Kepler-1019 b,1.493,,1,1,2016
Kepler-329 c,2.47,18.68465,1,2,2014
Kepler-421 b,4.53,704.962626,1,1,2014
Kepler-186 b,1.14,3.886803,1,5,2014
Kepler-1226 b,1.36,17.2923453,1,1,2016
Kepler-901 b,1.24,3.517482,1,1,2016
Kepler-1489 b,2.547,,1,2,2016
Kepler-950 b,8.0,98.7187,1,1,2016
KOI-217 b,13.14,3.905081985,1,1,2010
GJ 9827 c,1.24,3.64823,1,3,2017
Kepler-60 c,1.79,8.91902447,1,3,2012
Kepler-285 b,1.27,2.633893,1,2,2014
Kepler-1332 b,1.14,11.87456832,1,1,2016
Kepler-444 f,0.741,9.740486,3,5,2015
Kepler-284 c,2.8,37.5140693,1,2,2014
K2-350 c,2.74,19.991944,1,2,2016
Kepler-314 c,2.834,,1,2,2014
TOI-519 b,11.99363,1.2652328,1,1,2021
Kepler-59 b,1.353,11.8691507,1,2,2012
Kepler-314 b,0.76,2.46106655,1,2,2014
TOI-3714 b,11.61024861,2.15474722196,2,1,2022
Kepler-112 b,2.43,8.408876951,1,2,2014
Kepler-1205 b,1.75,1.078390352,1,1,2016
WASP-155 b,13.4185,3.1106751,1,1,2025
K2-36 b,1.43,1.422614,1,2,2016
TIC 257060897 b,16.70138124,3.660028,1,1,2021
K2-111 b,1.82,5.3518,1,2,2017
Kepler-401 d,2.36,184.256405,1,3,2016
Kepler-122 f,1.81,56.2587885,1,5,2014
Kepler-256 e,1.8,10.68167916,1,4,2014
Kepler-51 d,9.46,130.1845,1,4,2014
TOI-833 b,1.38903099,1.04188900271,1,1,2022
TOI-2000 c,8.14,9.127055,1,2,2023
Kepler-315 b,4.47,96.105471,1,2,2014
Kepler-595 b,3.708,25.3029092,1,2,2016
Kepler-401 b,2.205,14.38338734,1,3,2014
TOI-2714 b,12.9239,2.4993895,1,1,2024
Kepler-315 c,3.64,265.467621,1,2,2014
HATS-64 b,18.819911,4.908897,1,1,2018
Kepler-444 e,0.42,7.74347614,3,5,2015
WASP-117 b,11.88154,10.02165,1,1,2014
Kepler-529 d,1.61,35.8657306,1,3,2021
Kepler-360 c,2.11,7.1864526,1,2,2014
K2-219 c,1.43839723,6.66767,1,3,2018
Kepler-8 b,14.83,3.522498573,1,1,2010
K2-274 b,2.32120418,14.133427,1,1,2018
Kepler-1090 c,3.08,42.4267342,1,2,2021
Kepler-134 b,2.58,5.317435416,1,2,2014
Kepler-52 c,1.81,16.38485646,1,3,2012
Kepler-181 b,1.48,3.137848829,1,2,2014
Kepler-133 c,2.59,31.51780202,1,2,2014
Kepler-8 b,14.59,3.522498429,1,1,2010
Kepler-82 e,2.55,5.902246921,1,5,2014
TOI-3493 b,3.37094443,8.15948702679,1,1,2025
Kepler-1590 b,1.031,7.61760804,1,1,2016
Kepler-150 c,3.291,,1,5,2014
Kepler-1827 b,1.48,3.70062174,1,1,2021
Kepler-69 c,1.74,242.46712,1,2,2013
Kepler-8 b,15.704,3.522498573,1,1,2010
Kepler-363 b,1.74,3.61461353,1,3,2014
Kepler-593 b,2.6,21.21708973,1,1,2016
Kepler-265 c,2.46,17.02902105,1,4,2014
K2-374 c,2.213,16.43445,1,2,2022
Kepler-56 c,11.34,21.4054901,1,3,2012
K2-119 b,2.53,7.727283,1,1,2017
Kepler-1774 b,2.955,59.7711437,1,1,2021
TOI-1273 b,11.09689089,4.631296,1,1,2024
Kepler-100 c,2.29,12.81588378,1,4,2014
Kepler-1364 b,1.94,13.32196237,1,1,2016
Kepler-1163 b,0.97,6.117982,1,1,2016
Kepler-306 c,2.14,7.24022418,1,4,2014
KOI-1831 d,1.3,34.2069,1,4,2021
Kepler-148 c,3.6,4.180043,1,3,2014
Kepler-270 c,1.5,25.2630268,1,2,2014
Kepler-18 d,6.63,14.859,1,3,2011
Kepler-462 b,5.01,84.6879808,1,2,2016
Kepler-238 f,2.15,50.4473156,1,5,2013
Kepler-1431 b,1.46,5.86601526,1,1,2016
TOI-444 b,3.29701974,17.96350826817,1,1,2023
TOI-4773 b,15.22179579,1.7452851,1,1,2025
Kepler-395 b,1.03,7.054346,1,2,2014
WASP-148 b,8.96718456,8.803544,1,2,2020
Kepler-1715 b,2.98,35.59713982,1,1,2021
KELT-9 b,21.196219,1.4811235,2,1,2017
Kepler-1198 b,1.439,,1,1,2016
Kepler-65 b,1.27,2.1549189,1,4,2012
Kepler-1939 b,0.99,2.790643481,1,1,2021
Kepler-385 b,2.73,10.043686,1,3,2014
Kepler-1466 b,1.55,31.1750448,1,1,2016
Kepler-1792 b,3.03,4.195775379,1,1,2021
LHS 1678 b,0.97187949,0.86024057895,2,3,2021
K2-277 b,2.29015537,6.32668003682,1,1,2018
Kepler-130 c,2.811,27.508686,2,3,2014
TOI-1683.01,2.48784863,3.05752396361,1,1,2024
Kepler-414 b,2.19,4.699653236,1,2,2014
K2-141 b,1.51,0.2803244,1,2,2018
Kepler-151 c,2.09,24.674612,1,2,2014
Kepler-284 b,2.57,12.69902995,1,2,2014
Kepler-1415 b,1.33,0.63642408,1,1,2016
WASP-83 b,11.65736,4.971252,1,1,2015
Kepler-151 c,2.09,24.67464211,1,2,2014
Kepler-1012 b,1.29,5.50860439,1,1,2016
Kepler-565 b,3.64,4.243747226,1,1,2016
Kepler-1171 b,2.73,1.44259224,1,1,2016
Kepler-680 b,1.96,3.689926291,1,1,2016
Kepler-267 c,2.5,6.877,1,3,2014
K2-261 b,10.32,11.63395,1,1,2018
Kepler-676 b,3.07,11.59822172,1,1,2016
Kepler-427 b,9.83,10.290993755,1,1,2014
TOI-2005 b,11.99360935,17.305904,1,1,2025
Kepler-364 b,1.648,,1,2,2014
Kepler-703 b,8.2,4.583521756,1,1,2016
Kepler-557 b,2.4,3.705989551,1,1,2016
Kepler-1545 b,2.71,163.692349,1,1,2016
Kepler-90 i,1.32,14.44912,1,8,2017
Kepler-243 c,1.73,20.026231,1,2,2014
Kepler-253 d,3.17,18.119869,1,3,2014
Kepler-144 b,1.1,5.88528169,1,2,2014
WASP-10 b,14.34752,3.0927636,1,1,2008
Kepler-18 b,2.11,3.504687554,1,3,2011
Kepler-930 b,2.13,71.4517775,1,1,2016
Kepler-230 c,2.13,91.77221,1,2,2014
Kepler-296 c,1.52,5.84164124,2,5,2014
Kepler-1524 b,2.86,70.9674603,1,1,2016
Kepler-1394 b,0.75,3.93766373,1,1,2016
Kepler-1523 b,1.551,,1,1,2016
Kepler-774 b,2.49,11.0895723,1,1,2016
Kepler-47 b,3.03,49.532,2,3,2012
K2-171 b,3.71,5.6228,1,1,2018
Kepler-866 b,1.63,2.617032536,1,1,2016
Kepler-1669 b,2.4,9.51221128,1,3,2020
Kepler-382 b,1.35,5.26226,1,2,2014
K2-199 c,2.78,7.374694,1,2,2018
Kepler-852 b,2.78,44.9309804,1,1,2016
HAT-P-17 b,11.321,10.338523,1,2,2010
KOI-351 g,7.718,210.6031105,1,8,2013
Kepler-1189 b,1.79,3.78858982,1,1,2016
Kepler-1219 b,1.66,16.10519,1,1,2016
Kepler-51 c,5.029,85.3165776,1,4,2012
Kepler-479 b,2.01,12.49341307,1,1,2016
Kepler-1857 b,1.96065412,8.94340992,1,1,2021
Kepler-610 b,3.28,6.996926554,1,2,2016
Kepler-480 b,2.78,4.919583795,1,1,2016
Kepler-56 b,6.51,10.501,1,3,2012
Kepler-1622 b,1.47,10.8118737,1,1,2016
Kepler-339 b,1.68,4.97761996,1,3,2014
TOI-2525 c,10.13291855,49.2519,1,2,2023
Kepler-903 b,3.23,10.3507721,1,2,2016
Kepler-149 d,7.31,160.0172,1,3,2014
Kepler-137 b,1.746,8.43639364,1,2,2014
Kepler-672 b,2.82,38.3775486,1,1,2016
Kepler-49 d,1.54,2.576569689,1,4,2014
L 98-59 b,0.826635,2.25310616175,1,5,2019
Kepler-463 b,3.51,,1,1,2016
Kepler-1666 c,3.0,40.71652,1,2,2020
Kepler-1514 b,22.02,217.8317626,1,2,2016
Kepler-325 b,2.91,4.544439,1,3,2014
Kepler-1278 b,0.77,3.23941344,1,1,2016
Kepler-1885 b,23.18,2.522588632,1,1,2021
Kepler-517 b,2.87,60.92832271,2,1,2016
Kepler-1185 b,1.44,104.3518976,1,1,2016
Kepler-1114 b,1.5,14.97435694,1,1,2016
Kepler-418 c,5.22108654,12.21829987,1,2,2021
Kepler-791 b,2.41,14.5539759,1,1,2016
Kepler-2001 c,1.82,14.092583189,1,2,2023
Kepler-1921 c,1.44,3.15721824,1,2,2023
Kepler-148 c,3.46,4.180049552,1,3,2014
Kepler-733 b,2.74,20.83426731,1,1,2016
